time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground",Heel,"Trim Fore / Aft","Time to Gun","GPS Satellites","GPS HAcc"
"2022-07-24 09:31:31.199","2022-07-24 17:35:50.821",32.832626,34.987916,65.9,0.0399375,65.91,0.2,0.4,,5,7.574
"2022-07-24 09:31:32.199","2022-07-24 17:35:50.822",32.832626,34.987915,66.04,0.03764584,66.03,0.22,0.38,,6,5.461
"2022-07-24 09:31:33.199","2022-07-24 17:35:50.823",32.832644,34.987899,66.15,0.03024803,66.16,0.25,0.4,,7,4.246
"2022-07-24 09:31:34.199","2022-07-24 17:35:50.823",32.832650,34.987894,65.95,0.02429855,65.96,0.26,0.38,,7,3.652
"2022-07-24 09:31:35.199","2022-07-24 17:35:50.824",32.832655,34.987891,65.93,0.02669198,65.92,0.29,0.38,,7,3.252
"2022-07-24 09:31:36.199","2022-07-24 17:35:50.825",32.832658,34.987889,65.95,0.0432696,65.94,0.27,0.38,,7,2.971
"2022-07-24 09:31:37.199","2022-07-24 17:35:50.825",32.832661,34.987887,66.16,0.02573219,66.15,0.27,0.41,,7,2.758
"2022-07-24 09:31:37.999","2022-07-24 17:35:50.826",32.832662,34.987886,66.07,0.02960106,66.12,0.26,0.42,,7,2.625
"2022-07-24 09:31:39.199","2022-07-24 17:35:50.827",32.832670,34.987883,66.06,0.03344592,66.05,0.24,0.38,,10,2.391
"2022-07-24 09:31:40.199","2022-07-24 17:35:50.828",32.832676,34.987882,66.04,0.03139571,66.04,0.25,0.38,,11,2.232
"2022-07-24 09:31:41.199","2022-07-24 17:35:50.828",32.832680,34.987881,66.1,0.02903423,66.08,0.26,0.4,,11,2.107
"2022-07-24 09:31:42.099","2022-07-24 17:35:50.829",32.832682,34.987881,66.17,0.02783826,66.16,0.26,0.4,,11,2.012
"2022-07-24 09:31:43.199","2022-07-24 17:35:50.829",32.832685,34.987880,66.1,0.0210882,66.11,0.23,0.4,,11,1.915
"2022-07-24 09:31:44.199","2022-07-24 17:35:50.829",32.832687,34.987880,66.15,0.03876753,66.14,0.23,0.4,,11,1.838
"2022-07-24 09:31:45.199","2022-07-24 17:35:50.83",32.832689,34.987880,65.99,0.03312517,66,0.24,0.38,,11,1.768
"2022-07-24 09:31:46.199","2022-07-24 17:35:50.83",32.832690,34.987879,66.07,0.02799811,66.06,0.25,0.37,,11,1.705
"2022-07-24 09:31:47.199","2022-07-24 17:35:50.831",32.832692,34.987879,66.15,0.01776112,66.15,0.23,0.36,,12,1.652
"2022-07-24 09:31:48.199","2022-07-24 17:35:50.831",32.832694,34.987880,66.02,0.01757752,66.04,0.21,0.34,,13,1.588
"2022-07-24 09:31:49.199","2022-07-24 17:35:50.832",32.832695,34.987881,65.96,0.02699767,65.95,0.2,0.34,,13,1.509
"2022-07-24 09:31:50.199","2022-07-24 17:35:50.832",32.832696,34.987881,66.06,0.03202413,66.06,0.21,0.34,,13,1.443
"2022-07-24 09:31:51.199","2022-07-24 17:35:50.833",32.832697,34.987882,66.05,0.01941935,66.04,0.24,0.34,,13,1.389
