time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground",Heel,"Trim Fore / Aft","Time to Gun","GPS Satellites","GPS HAcc"
"2022-08-15 11:03:19.6","2022-08-15 19:15:16.919",29.513483,34.926483,172.59,0.03973182,172.58,-2.43,6.76,,11,10.62
"2022-08-15 11:03:20.6","2022-08-15 19:15:16.922",29.513468,34.926497,172.46,0.07157208,172.48,-2.4,6.66,,13,9.961
"2022-08-15 11:03:21.6","2022-08-15 19:15:16.922",29.513443,34.926509,172.46,0.02842718,172.41,-2.32,6.69,,12,8.688
"2022-08-15 11:03:22.6","2022-08-15 19:15:16.923",29.513423,34.926514,172.36,0.03329512,172.39,-2.3,6.57,,10,8.672
"2022-08-15 11:03:23.6","2022-08-15 19:15:16.923",29.513413,34.926519,172.36,0.02326579,172.33,-2.25,6.62,,12,9.594
"2022-08-15 11:03:24.6","2022-08-15 19:15:16.924",29.513424,34.926537,172.5,0.05164134,172.51,-2.12,6.6,,12,9.453
"2022-08-15 11:03:25.6","2022-08-15 19:15:16.924",29.513433,34.926559,172.07,0.05198168,172.13,-1.99,6.93,,13,10.12
"2022-08-15 11:03:26.6","2022-08-15 19:15:16.924",29.513438,34.926567,171.88,0.04212003,171.88,-2.04,6.91,,13,9.492
"2022-08-15 11:03:27.6","2022-08-15 19:15:16.925",29.513432,34.926564,171.68,0.1021037,171.71,-0.88,1.58,,12,9.141
"2022-08-15 11:03:28.6","2022-08-15 19:15:16.925",29.513420,34.926562,171.88,0.07727018,171.86,-1.19,0.92,,11,7.324
"2022-08-15 11:03:29.6","2022-08-15 19:15:16.925",29.513414,34.926556,171.77,0.07800068,171.74,-0.98,1.24,,12,7.52
"2022-08-15 11:03:30.4","2022-08-15 19:15:16.926",29.513444,34.926533,171.85,0.05666086,171.83,-0.52,-0.32,,12,2.734
"2022-08-15 11:03:31.6","2022-08-15 19:15:16.926",29.513448,34.926512,172.02,0.03223627,172,-0.45,-0.97,,11,2.469
"2022-08-15 11:03:32.6","2022-08-15 19:15:16.927",29.513452,34.926497,172.01,0.04539338,172.03,-0.59,-0.67,,12,2.301
"2022-08-15 11:03:33.6","2022-08-15 19:15:16.927",29.513455,34.926483,171.95,0.0227982,171.95,-0.58,-0.64,,12,2.141
"2022-08-15 11:03:34.5","2022-08-15 19:15:16.928",29.513461,34.926477,172.02,0.02791711,171.97,-0.52,-0.97,,13,2.033
"2022-08-15 11:03:35.6","2022-08-15 19:15:16.928",29.513466,34.926470,172.33,0.02382998,172.28,-0.49,-1.01,,12,1.93
"2022-08-15 11:03:36.6","2022-08-15 19:15:16.928",29.513468,34.926464,172.3,0.02854691,172.33,-0.42,-1.14,,12,1.851
"2022-08-15 11:03:37.6","2022-08-15 19:15:16.929",29.513469,34.926455,172.3,0.0247447,172.31,-0.45,-1.21,,13,1.771
"2022-08-15 11:03:38.6","2022-08-15 19:15:16.929",29.513471,34.926452,172.04,0.01674358,172.06,-0.43,-1.31,,12,1.714
"2022-08-15 11:03:39.6","2022-08-15 19:15:16.929",29.513470,34.926446,172.02,0.02091118,172.02,-0.4,-1.48,,13,1.653
"2022-08-15 11:03:40.6","2022-08-15 19:15:16.93",29.513472,34.926444,171.97,0.01901817,171.97,-0.36,-1.67,,14,1.595
"2022-08-15 11:03:41.6","2022-08-15 19:15:16.93",29.513474,34.926440,171.9,0.02487749,171.92,-0.4,-1.65,,13,1.538
"2022-08-15 11:03:42.6","2022-08-15 19:15:16.93",29.513475,34.926437,171.69,0.02896015,171.7,-0.33,-1.98,,13,1.501
"2022-08-15 11:03:43.6","2022-08-15 19:15:16.931",29.513476,34.926433,171.92,0.02374262,171.88,-0.29,-2.18,,14,1.461
"2022-08-15 11:03:44.6","2022-08-15 19:15:16.931",29.513476,34.926428,171.99,0.02412354,172,-0.29,-2.25,,13,1.42
"2022-08-15 11:03:45.6","2022-08-15 19:15:16.931",29.513477,34.926425,172.01,0.01922518,172,-0.32,-1.89,,14,1.382
"2022-08-15 11:03:46.6","2022-08-15 19:15:16.932",29.513479,34.926421,172.15,0.02381586,172.15,-0.49,-1.27,,14,1.337
"2022-08-15 11:03:47.6","2022-08-15 19:15:16.932",29.513484,34.926416,172.07,0.02283469,172.1,-0.6,-0.96,,15,1.286
"2022-08-15 11:03:48.6","2022-08-15 19:15:16.932",29.513487,34.926411,171.86,0.02667804,171.88,-0.62,-0.87,,15,1.236
"2022-08-15 11:03:49.6","2022-08-15 19:15:16.932",29.513491,34.926407,171.82,0.02417572,171.83,-0.62,-0.8,,15,1.181
"2022-08-15 11:03:50.6","2022-08-15 19:15:16.933",29.513493,34.926404,171.88,0.02157064,171.86,-0.55,-0.92,,15,1.135
"2022-08-15 11:03:51.6","2022-08-15 19:15:16.933",29.513496,34.926402,171.84,0.01984542,171.85,-0.59,-1.07,,15,1.096
"2022-08-15 11:03:52.6","2022-08-15 19:15:16.933",29.513498,34.926401,171.84,0.01564456,171.83,-0.63,-0.99,,16,1.063
"2022-08-15 11:03:53.6","2022-08-15 19:15:16.933",29.513500,34.926399,171.97,0.02634489,171.97,-0.65,-0.78,,15,1.029
"2022-08-15 11:03:54.6","2022-08-15 19:15:16.934",29.513502,34.926398,171.84,0.01805624,171.85,-0.6,-0.76,,15,1
"2022-08-15 11:03:55.6","2022-08-15 19:15:16.936",29.513504,34.926397,171.95,0.01255728,171.93,-0.64,-0.58,,15,0.9736
"2022-08-15 11:03:56.6","2022-08-15 19:15:16.937",29.513505,34.926396,172.02,0.01917299,172.03,-0.7,-0.65,,15,0.9497
"2022-08-15 11:03:57.6","2022-08-15 19:15:16.937",29.513506,34.926396,171.84,0.01866297,171.86,-0.66,-0.54,,14,0.9297
"2022-08-15 11:03:58.6","2022-08-15 19:15:16.937",29.513506,34.926395,171.72,0.02528995,171.73,-0.75,-0.34,,14,0.917
"2022-08-15 11:03:59.6","2022-08-15 19:15:16.938",29.513507,34.926394,171.75,0.03842007,171.77,-0.69,-0.38,,15,0.8999
"2022-08-15 11:04:00.6","2022-08-15 19:15:16.938",29.513508,34.926393,171.94,0.01530968,171.9,-0.7,-0.26,,15,0.8857
"2022-08-15 11:04:01.6","2022-08-15 19:15:16.938",29.513509,34.926392,172.07,0.0262845,172.07,-0.67,-0.36,,15,0.8706
"2022-08-15 11:04:02.6","2022-08-15 19:15:16.938",29.513509,34.926390,171.79,0.02245973,171.81,-0.68,-0.35,,15,0.8579
"2022-08-15 11:04:03.6","2022-08-15 19:15:16.939",29.513510,34.926389,171.75,0.01871511,171.75,-0.67,-0.35,,13,0.8447
"2022-08-15 11:04:04.6","2022-08-15 19:15:16.939",29.513511,34.926388,172.18,0.03211941,172.18,0.01,-0.02,,15,0.8315
"2022-08-15 11:04:05.6","2022-08-15 19:15:16.94",29.513512,34.926387,172.17,0.01929182,172.17,0,0.01,,15,0.8198
"2022-08-15 11:04:06.6","2022-08-15 19:15:16.941",29.513512,34.926386,172.13,0.009649236,172.13,0.01,-0.01,,15,0.8086
"2022-08-15 11:04:07.6","2022-08-15 19:15:16.941",29.513513,34.926385,172.23,0.01629635,172.22,0.03,-0.01,,15,0.7979
"2022-08-15 11:04:08.6","2022-08-15 19:15:16.941",29.513513,34.926384,172.29,0.02417445,172.29,0.03,0.04,,15,0.7886
"2022-08-15 11:04:09.6","2022-08-15 19:15:16.942",29.513513,34.926384,172.28,0.05131185,172.29,-0.01,-0.05,,13,0.792
"2022-08-15 11:04:10.6","2022-08-15 19:15:16.942",29.513513,34.926384,171.62,0.09844857,171.79,-0.77,0.55,,16,0.8247
"2022-08-15 11:04:11.4","2022-08-15 19:15:16.943",29.513513,34.926384,170.96,0.06617679,170.93,-0.78,0.22,,14,0.8447
