time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground",Heel,"Trim Fore / Aft","Time to Gun","GPS Satellites","GPS HAcc"
"2023-03-07 07:51:32.5","2023-03-07 14:05:42.535",29.541420,34.947943,200.44,0.1598251,200.79,1.32,-114.09,,6,7.844
"2023-03-07 07:51:33.5","2023-03-07 14:05:42.535",29.541446,34.947977,206.48,0.1232089,204.2,3.91,-114.07,,6,5.762
"2023-03-07 07:51:34.5","2023-03-07 14:05:42.536",29.541457,34.948004,216.8,0.1183721,218.94,1.79,-112.72,,6,4.406
"2023-03-07 07:51:35.5","2023-03-07 14:05:42.536",29.541462,34.948017,202.61,0.1060859,202.67,2.59,-112.11,,6,3.654
"2023-03-07 07:51:36.5","2023-03-07 14:05:42.536",29.541470,34.948020,200.19,0.05460891,200.64,2.64,-111.1,,7,2.76
"2023-03-07 07:51:37.5","2023-03-07 14:05:42.536",29.541472,34.948020,202.04,0.03792585,201.85,-2.81,-109.83,,8,2.102
"2023-03-07 07:51:38.5","2023-03-07 14:05:42.536",29.541473,34.948018,193.97,0.1091616,195.09,-1.46,-109.48,,8,1.691
"2023-03-07 07:51:39.5","2023-03-07 14:05:42.537",29.541477,34.948016,195.98,0.06058205,194.94,-0.65,-109.33,,8,1.468
"2023-03-07 07:51:40.5","2023-03-07 14:05:42.537",29.541480,34.948017,202.25,0.03477341,201.47,-3.71,-109.84,,8,1.375
"2023-03-07 07:51:41.5","2023-03-07 14:05:42.537",29.541481,34.948017,226.42,0.251177,225.3,-5.61,-107.34,,8,1.33
"2023-03-07 07:51:42.5","2023-03-07 14:05:42.537",29.541483,34.948017,213.57,0.07283521,214.37,-5.11,-107.86,,8,1.288
"2023-03-07 07:51:43.5","2023-03-07 14:05:42.537",29.541484,34.948016,209.34,0.0740944,210.56,-7.03,-107.25,,8,1.256
"2023-03-07 07:51:44.5","2023-03-07 14:05:42.538",29.541485,34.948017,196.75,0.0982291,198.64,130.47,-49.87,,8,1.221
"2023-03-07 07:51:45.5","2023-03-07 14:05:42.538",29.541484,34.948015,124.61,0.2430179,124.03,4,-40.24,,8,1.198
"2023-03-07 07:51:46.5","2023-03-07 14:05:42.538",29.541485,34.948015,139.46,0.171166,140.66,-13.46,-35.98,,8,1.184
"2023-03-07 07:51:47.5","2023-03-07 14:05:42.539",29.541485,34.948016,136.14,0.04129821,137.33,3.65,-55.32,,8,1.171
"2023-03-07 07:51:48.5","2023-03-07 14:05:42.539",29.541487,34.948022,145.57,0.1798689,142.07,-37.49,-9.89,,8,1.175
"2023-03-07 07:51:49.5","2023-03-07 14:05:42.539",29.541489,34.948021,166.06,0.7411105,77.13,-55.86,-76.23,,7,1.179
"2023-03-07 07:51:50.5","2023-03-07 14:05:42.54",29.541488,34.948019,176.65,0.1565683,173.63,-58.5,-61.85,,7,1.179
"2023-03-07 07:51:51.5","2023-03-07 14:05:42.54",29.541487,34.948018,121.33,0.3371916,131.3,-97.12,-71.79,,8,1.159
"2023-03-07 07:51:52.4","2023-03-07 14:05:42.54",29.541485,34.948015,104.65,0.3326744,126.64,13.79,-101.73,,8,1.102
"2023-03-07 07:51:53.5","2023-03-07 14:05:42.541",29.541483,34.948017,19.81,0.4122888,19.16,1.08,-109.43,,8,1.035
"2023-03-07 07:51:54.5","2023-03-07 14:05:42.541",29.541482,34.948016,42.71,0.1487978,37.5,-0.62,-109.3,,8,1.01
"2023-03-07 07:51:55.5","2023-03-07 14:05:42.541",29.541481,34.948013,86.99,0.1279459,84.42,0.52,-108.17,,9,0.9839
"2023-03-07 07:51:56.5","2023-03-07 14:05:42.542",29.541483,34.948013,101.02,0.09264807,100.99,-2.71,-103.09,,9,0.9575
"2023-03-07 07:51:57.5","2023-03-07 14:05:42.542",29.541486,34.948013,86.23,0.1014119,87.87,-2.32,-103.97,,9,0.9297
"2023-03-07 07:51:58.5","2023-03-07 14:05:42.543",29.541486,34.948012,93.35,0.0896065,92.12,-8.2,-102.16,,9,0.9277
"2023-03-07 07:51:59.5","2023-03-07 14:05:42.55",29.541489,34.948010,103.96,0.0938092,101.99,-4.66,-104.64,,9,0.9106
"2023-03-07 07:52:00.5","2023-03-07 14:05:42.55",29.541492,34.948006,114.01,0.09816008,114.01,-0.43,-104.31,,9,0.8896
"2023-03-07 07:52:01.5","2023-03-07 14:05:42.551",29.541494,34.948004,103.94,0.114194,103.94,-1.1,-108.84,,10,0.8677
"2023-03-07 07:52:02.5","2023-03-07 14:05:42.551",29.541497,34.948001,99.67,0.05671328,99.67,1.34,-113.43,,10,0.8467
"2023-03-07 07:52:03.5","2023-03-07 14:05:42.552",29.541501,34.948001,97.87,0.07100417,97.87,23.32,-99.39,,10,0.8325
"2023-03-07 07:52:04.5","2023-03-07 14:05:42.552",29.541502,34.948001,104.67,0.1369745,104.67,31.16,-99.08,,10,0.8076
"2023-03-07 07:52:05.5","2023-03-07 14:05:42.552",29.541504,34.948000,99.24,0.08205435,99.24,25.65,-101.79,,10,0.7778
"2023-03-07 07:52:06.5","2023-03-07 14:05:42.553",29.541505,34.947999,105.38,0.0664012,105.38,-4.02,-101.41,,10,0.7549
"2023-03-07 07:52:07.499","2023-03-07 14:05:42.553",29.541505,34.947999,80.38,0.2099743,80.38,-5.32,-108.78,,10,0.75
"2023-03-07 07:52:08.499","2023-03-07 14:05:42.554",29.541505,34.947997,84.88,0.1595896,84.88,-11.66,-114.47,,11,0.73
"2023-03-07 07:52:09.499","2023-03-07 14:05:42.554",29.541504,34.947996,98.46,0.1474031,98.46,-16.34,-122.8,,12,0.7119
"2023-03-07 07:52:10.499","2023-03-07 14:05:42.554",29.541503,34.947995,77.47,0.0439152,77.47,-15.58,-116.29,,12,0.6787
"2023-03-07 07:52:11.499","2023-03-07 14:05:42.555",29.541502,34.947996,78.72,0.05307531,78.72,-17.6,-122.25,,12,0.6499
"2023-03-07 07:52:12.499","2023-03-07 14:05:42.555",29.541501,34.947996,71.46,0.05113262,71.46,-16.3,-118.19,,12,0.6338
"2023-03-07 07:52:13.499","2023-03-07 14:05:42.555",29.541501,34.947996,77.35,0.0573798,77.35,-18.18,-116.61,,12,0.6196
"2023-03-07 07:52:14.499","2023-03-07 14:05:42.556",29.541500,34.947996,87.5,0.03261373,87.5,-19.2,-115.8,,12,0.6196
"2023-03-07 07:52:15.499","2023-03-07 14:05:42.557",29.541499,34.947996,118.32,0.03728161,118.32,-139.53,-45.36,,12,0.6069
"2023-03-07 07:52:16.499","2023-03-07 14:05:42.557",29.541498,34.947997,185.22,0.08024698,185.22,-31.55,-120.27,,12,0.5869
"2023-03-07 07:52:17.499","2023-03-07 14:05:42.557",29.541498,34.947999,100.9,0.07756542,100.9,-89.01,-84.67,,12,0.5679
"2023-03-07 07:52:18.499","2023-03-07 14:05:42.557",29.541498,34.948000,209.39,0.06643956,209.39,-54.63,-108.43,,12,0.5518
"2023-03-07 07:52:19.499","2023-03-07 14:05:42.558",29.541498,34.948000,110.23,0.04716329,110.23,-27.69,-125.93,,13,0.5376
"2023-03-07 07:52:20.499","2023-03-07 14:05:42.558",29.541497,34.948001,100.8,0.04165224,100.5,-26.72,-126.1,,13,0.5239
"2023-03-07 07:52:21.499","2023-03-07 14:05:42.558",29.541496,34.948001,99.85,0.04467375,99.85,-24.83,-125.16,,13,0.5117
"2023-03-07 07:52:22.499","2023-03-07 14:05:42.559",29.541496,34.948002,96.36,0.04537818,96.36,-20.64,-123.8,,13,0.5029
"2023-03-07 07:52:23.499","2023-03-07 14:05:42.559",29.541495,34.948001,92.32,0.08591418,92.32,-15.07,-124.49,,13,0.4939
"2023-03-07 07:52:24.499","2023-03-07 14:05:42.56",29.541495,34.948001,78.93,0.1290064,78.93,-2.37,-123.19,,13,0.491
"2023-03-07 07:52:25.499","2023-03-07 14:05:42.56",29.541495,34.948002,89.7,0.1454802,89.7,-0.14,-120.97,,13,0.4829
"2023-03-07 07:52:26.499","2023-03-07 14:05:42.56",29.541495,34.948003,99.76,0.0688543,99.76,-1.32,-121.15,,13,0.4778
"2023-03-07 07:52:27.499","2023-03-07 14:05:42.561",29.541495,34.948004,99.39,0.0770437,99.39,-3.46,-119.92,,12,0.4709
"2023-03-07 07:52:28.499","2023-03-07 14:05:42.561",29.541494,34.948003,103.54,0.03447824,103.54,-2.67,-119.47,,12,0.4648
